U.S. Regional Level,Code,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,116620,16620,"Charleston, WV",43,49,44,34,19,28,20,25,12,22,22,19,32,45,33,26,473
Metropolitan Statistical Area,143580,43580,"Sioux City, IA-NE-SD",32,34,50,42,43,38,40,22,24,18,25,17,26,22,15,25,473
Metropolitan Statistical Area,122500,22500,"Florence, SC",42,30,34,27,37,26,47,30,20,20,25,21,25,31,33,23,471
Metropolitan Statistical Area,144180,44180,"Springfield, MO",34,42,32,31,24,18,24,32,30,24,32,26,26,37,23,35,470
Metropolitan Statistical Area,134900,34900,"Napa, CA",21,29,17,29,28,20,26,25,15,27,31,32,34,35,39,43,450
Metropolitan Statistical Area,127500,27500,"Janesville, WI",21,33,24,21,18,17,23,21,19,21,27,38,39,44,39,39,444
Metropolitan Statistical Area,114060,14060,"Bloomington-Normal, IL",22,13,22,32,13,23,14,18,27,23,13,23,24,39,57,74,437
Metropolitan Statistical Area,111340,11340,"Anderson, SC",23,31,25,28,22,19,26,14,20,13,19,25,34,43,41,45,428
Metropolitan Statistical Area,129940,29940,"Lawrence, KS",24,10,30,18,11,16,17,18,14,20,23,25,46,38,62,52,424
Metropolitan Statistical Area,127140,27140,"Jackson, MS",42,32,20,37,28,23,13,24,13,18,23,31,29,27,28,27,415
Metropolitan Statistical Area,120220,20220,"Dubuque, IA",17,28,18,14,8,16,13,18,15,14,27,25,25,46,63,61,408
Metropolitan Statistical Area,127100,27100,"Jackson, MI",34,26,39,32,30,22,22,19,22,15,18,18,22,23,25,39,406
Metropolitan Statistical Area,111260,11260,"Anchorage, AK",31,33,33,30,28,25,25,10,12,29,19,15,20,34,33,26,403
Metropolitan Statistical Area,143620,43620,"Sioux Falls, SD",28,20,19,16,14,12,10,16,14,13,25,35,33,52,54,42,403
Metropolitan Statistical Area,127740,27740,"Johnson City, TN",21,28,47,33,15,19,19,19,20,17,27,26,27,23,27,28,396
Metropolitan Statistical Area,122540,22540,"Fond du Lac, WI",32,25,26,27,28,32,31,27,26,10,18,16,18,24,23,25,388
Metropolitan Statistical Area,136100,36100,"Ocala, FL",19,19,24,22,12,16,21,23,11,18,23,20,37,45,43,25,375
Metropolitan Statistical Area,131180,31180,"Lubbock, TX",31,32,38,28,15,17,29,18,20,21,14,11,17,26,31,25,373
Metropolitan Statistical Area,138340,38340,"Pittsfield, MA",33,30,27,21,23,10,15,16,6,26,23,26,20,32,27,36,371
Metropolitan Statistical Area,111300,11300,"Anderson, IN",11,22,24,26,26,27,18,5,7,9,22,17,22,43,46,33,358
Metropolitan Statistical Area,144100,44100,"Springfield, IL",23,22,33,13,7,14,12,20,14,21,32,25,23,22,39,37,357
Metropolitan Statistical Area,146540,46540,"Utica-Rome, NY",23,23,14,19,24,17,25,16,17,15,23,29,22,32,15,40,354
Metropolitan Statistical Area,127900,27900,"Joplin, MO",29,26,24,27,33,11,22,17,16,21,18,12,17,26,29,25,353
Metropolitan Statistical Area,112220,12220,"Auburn-Opelika, AL",22,16,27,19,18,18,14,23,20,26,23,24,17,34,30,25,352
Metropolitan Statistical Area,131860,31860,"Mankato-North Mankato, MN",17,30,13,16,14,11,17,9,9,21,13,28,25,33,49,41,346
Metropolitan Statistical Area,118580,18580,"Corpus Christi, TX",29,31,23,21,22,17,16,12,14,17,19,18,19,21,20,45,344
Metropolitan Statistical Area,137460,37460,"Panama City-Lynn Haven-Panama City Beach, FL",27,31,34,28,25,31,26,25,15,13,15,7,19,16,13,17,339
Metropolitan Statistical Area,123580,23580,"Gainesville, GA",17,24,12,20,20,22,27,19,13,17,23,19,31,19,27,28,338
Metropolitan Statistical Area,113140,13140,"Beaumont-Port Arthur, TX",30,29,14,23,14,13,16,22,12,14,22,23,19,23,29,34,337
Metropolitan Statistical Area,127180,27180,"Jackson, TN",20,20,23,29,21,32,49,28,23,11,19,16,13,11,11,11,337
Metropolitan Statistical Area,143340,43340,"Shreveport-Bossier City, LA",13,23,22,20,10,10,20,6,13,20,32,31,28,30,26,30,334
Metropolitan Statistical Area,112980,12980,"Battle Creek, MI",24,26,19,20,19,22,24,16,12,11,13,26,24,19,27,27,329
Metropolitan Statistical Area,139140,39140,"Prescott, AZ",16,24,18,22,20,13,23,18,22,14,17,13,23,24,35,30,329
Metropolitan Statistical Area,113020,13020,"Bay City, MI",22,23,21,30,22,21,20,23,18,21,12,15,11,26,21,22,328
Metropolitan Statistical Area,132780,32780,"Medford, OR",18,14,24,11,13,13,18,15,13,14,24,13,21,22,43,51,327
Metropolitan Statistical Area,137620,37620,"Parkersburg-Marietta-Vienna, WV-OH",30,28,26,21,20,12,19,27,19,12,26,18,22,14,17,14,325
Metropolitan Statistical Area,133660,33660,"Mobile, AL",26,31,20,19,17,16,29,20,10,19,18,13,17,33,17,16,321
Metropolitan Statistical Area,142340,42340,"Savannah, GA",15,24,16,15,21,16,15,15,14,12,14,23,36,19,30,34,319
Metropolitan Statistical Area,126380,26380,"Houma-Bayou Cane-Thibodaux, LA",17,23,14,15,15,23,25,21,10,22,22,7,27,25,28,24,318
Metropolitan Statistical Area,120260,20260,"Duluth, MN-WI",15,10,25,26,18,12,14,15,10,19,14,26,29,27,22,34,316
Metropolitan Statistical Area,129100,29100,"La Crosse, WI-MN",29,27,22,26,16,14,10,15,16,15,22,18,20,23,17,22,312
Metropolitan Statistical Area,134060,34060,"Morgantown, WV",14,11,14,21,11,10,10,14,12,20,31,19,24,31,35,32,309
Metropolitan Statistical Area,131740,31740,"Manhattan, KS",12,15,14,13,17,13,9,14,12,14,19,21,28,30,35,39,305
Metropolitan Statistical Area,130980,30980,"Longview, TX",27,23,21,15,14,12,13,12,19,8,17,26,19,29,26,20,301
Metropolitan Statistical Area,124020,24020,"Glens Falls, NY",26,27,19,17,14,15,14,21,11,16,11,14,18,20,21,38,299
Metropolitan Statistical Area,134740,34740,"Muskegon-Norton Shores, MI",28,37,36,25,25,14,15,16,10,15,10,16,6,15,16,15,295
Metropolitan Statistical Area,124780,24780,"Greenville, NC",21,16,16,13,14,10,14,15,13,15,26,26,24,21,25,24,293
Metropolitan Statistical Area,146340,46340,"Tyler, TX",10,21,13,11,10,13,9,19,18,20,27,14,26,28,30,22,291
Metropolitan Statistical Area,133260,33260,"Midland, TX",16,16,11,8,12,10,19,13,15,18,21,18,14,30,36,33,290
Metropolitan Statistical Area,148700,48700,"Williamsport, PA",16,21,44,23,23,16,19,16,18,14,23,20,3,10,9,12,287
Metropolitan Statistical Area,119500,19500,"Decatur, IL",17,17,22,22,18,17,12,10,11,14,21,24,16,19,20,17,277
Metropolitan Statistical Area,142680,42680,"Sebastian-Vero Beach, FL",16,12,9,15,13,7,14,10,10,15,24,15,25,28,29,38,276
Metropolitan Statistical Area,143300,43300,"Sherman-Denison, TX",18,24,26,23,21,20,19,18,10,10,11,11,14,16,9,16,266
Metropolitan Statistical Area,117660,17660,"Coeur d'Alene, ID",14,15,9,14,13,13,12,6,6,15,13,18,18,22,32,35,255
Metropolitan Statistical Area,141980,41980,"San Juan-Caguas-Guaynabo, PR",18,8,13,18,11,16,11,20,10,9,22,14,21,14,29,21,255
Metropolitan Statistical Area,115500,15500,"Burlington, NC",15,26,19,18,15,15,12,4,13,10,11,23,12,16,18,26,253
Metropolitan Statistical Area,139460,39460,"Punta Gorda, FL",16,20,15,18,12,13,9,14,10,14,17,16,25,17,17,22,250
Metropolitan Statistical Area,125180,25180,"Hagerstown-Martinsburg, MD-WV",12,16,27,21,12,10,13,10,10,16,12,16,17,12,22,18,244
Metropolitan Statistical Area,141060,41060,"St. Cloud, MN",23,10,15,18,19,15,13,9,15,6,10,18,24,16,16,21,243
Metropolitan Statistical Area,125060,25060,"Gulfport-Biloxi, MS",19,27,27,22,11,14,6,11,14,16,16,12,5,13,17,12,242
Metropolitan Statistical Area,131420,31420,"Macon, GA",20,13,16,16,19,12,13,15,12,11,14,10,9,20,26,16,242
Metropolitan Statistical Area,112100,12100,"Atlantic City-Hammonton, NJ",19,9,18,16,20,7,12,15,21,14,17,13,18,14,12,12,237
Metropolitan Statistical Area,118880,18880,"Crestview-Fort Walton Beach-Destin, FL",18,30,27,16,13,9,19,13,10,4,7,13,22,11,9,18,234
Metropolitan Statistical Area,133860,33860,"Montgomery, AL",15,17,21,15,18,14,17,10,13,12,12,3,13,17,19,17,231
Metropolitan Statistical Area,128660,28660,"Killeen-Temple-Fort Hood, TX",14,20,19,16,17,16,17,16,8,11,10,10,12,12,11,21,230
Metropolitan Statistical Area,134820,34820,"Myrtle Beach-North Myrtle Beach-Conway, SC",5,8,14,13,11,16,13,13,12,16,15,16,16,17,18,22,225
Metropolitan Statistical Area,141100,41100,"St. George, UT",6,14,13,8,13,12,7,7,10,9,13,15,18,24,27,25,221
Metropolitan Statistical Area,111100,11100,"Amarillo, TX",22,16,10,12,6,6,15,11,7,12,23,15,11,13,15,18,212
Metropolitan Statistical Area,148140,48140,"Wausau, WI",17,13,17,16,12,10,9,9,7,10,14,16,16,19,14,11,209
Metropolitan Statistical Area,124300,24300,"Grand Junction, CO",10,17,13,10,12,7,8,11,10,7,13,11,15,22,21,21,208
Metropolitan Statistical Area,144220,44220,"Springfield, OH",17,9,9,18,10,13,6,7,10,12,17,13,10,17,22,16,206
Metropolitan Statistical Area,130140,30140,"Lebanon, PA",15,15,11,9,5,12,10,7,15,9,10,14,19,21,14,18,204
Metropolitan Statistical Area,117020,17020,"Chico, CA",15,13,16,6,8,7,15,7,7,11,15,12,20,20,18,16,203
Metropolitan Statistical Area,139820,39820,"Redding, CA",15,16,14,14,16,8,13,14,12,8,9,8,11,11,15,16,200
Metropolitan Statistical Area,149020,49020,"Winchester, VA-WV",4,12,9,13,12,4,12,8,10,9,12,13,12,22,25,21,197
Metropolitan Statistical Area,147380,47380,"Waco, TX",13,11,17,11,12,11,8,10,10,6,6,19,10,22,12,17,195
Metropolitan Statistical Area,129740,29740,"Las Cruces, NM",9,16,11,9,8,9,11,16,5,11,21,15,16,16,13,8,194
Metropolitan Statistical Area,134100,34100,"Morristown, TN",8,6,21,23,15,13,11,6,9,16,9,9,13,6,10,16,191
Metropolitan Statistical Area,124220,24220,"Grand Forks, ND-MN",13,11,16,5,8,12,7,6,5,18,9,12,18,18,18,14,190
Metropolitan Statistical Area,128100,28100,"Kankakee-Bradley, IL",5,10,10,7,10,21,7,10,10,6,15,11,17,28,13,10,190
Metropolitan Statistical Area,133540,33540,"Missoula, MT",13,16,17,15,10,17,13,8,7,7,12,5,7,12,12,19,190
Metropolitan Statistical Area,126580,26580,"Huntington-Ashland, WV-KY-OH",15,14,19,11,9,6,9,7,17,8,14,7,14,14,8,14,186
Metropolitan Statistical Area,112620,12620,"Bangor, ME",5,8,7,10,10,8,7,10,9,5,15,15,15,27,15,18,184
Metropolitan Statistical Area,147300,47300,"Visalia-Porterville, CA",13,14,11,11,8,9,7,8,6,9,22,7,15,16,15,12,183
Metropolitan Statistical Area,134580,34580,"Mount Vernon-Anacortes, WA",9,15,10,6,10,10,12,11,7,10,10,11,11,15,14,23,181
Metropolitan Statistical Area,136220,36220,"Odessa, TX",17,5,8,12,10,6,8,12,6,12,13,16,8,15,13,16,177
Metropolitan Statistical Area,119460,19460,"Decatur, AL",10,12,15,11,13,5,10,17,11,10,9,7,14,13,7,12,176
Metropolitan Statistical Area,146220,46220,"Tuscaloosa, AL",4,10,8,6,6,7,8,6,8,4,15,12,16,13,28,25,176
Metropolitan Statistical Area,114540,14540,"Bowling Green, KY",13,12,10,9,4,12,6,9,7,10,14,21,17,9,9,10,172
Metropolitan Statistical Area,149420,49420,"Yakima, WA",23,20,19,11,12,9,14,10,8,6,4,6,9,10,2,7,170
Metropolitan Statistical Area,122180,22180,"Fayetteville, NC",9,10,4,8,15,14,9,7,8,7,11,11,14,13,15,13,168
Metropolitan Statistical Area,129340,29340,"Lake Charles, LA",19,19,14,17,10,6,9,4,11,8,3,7,11,15,5,8,166
Metropolitan Statistical Area,133140,33140,"Michigan City-La Porte, IN",18,8,18,10,17,11,13,8,5,6,6,2,8,11,10,12,163
Metropolitan Statistical Area,122900,22900,"Fort Smith, AR-OK",18,8,10,11,7,7,9,5,5,7,10,10,10,7,21,17,162
Metropolitan Statistical Area,117980,17980,"Columbus, GA-AL",12,6,12,14,21,10,7,6,9,8,8,8,10,10,12,12,161
Metropolitan Statistical Area,145820,45820,"Topeka, KS",16,10,18,17,13,4,5,6,3,5,7,7,9,17,12,8,157
Metropolitan Statistical Area,139380,39380,"Pueblo, CO",5,6,3,5,7,3,4,8,7,9,21,15,13,11,15,18,150
Metropolitan Statistical Area,141140,41140,"St. Joseph, MO-KS",5,6,7,13,12,8,11,8,4,9,8,10,14,16,14,4,149
Metropolitan Statistical Area,119140,19140,"Dalton, GA",12,10,14,13,11,9,10,10,10,5,3,7,9,7,8,9,147
Metropolitan Statistical Area,145460,45460,"Terre Haute, IN",7,11,12,15,8,12,11,6,9,3,7,4,16,12,5,7,145
Metropolitan Statistical Area,120100,20100,"Dover, DE",10,8,9,11,7,6,9,4,8,5,8,20,8,12,11,8,144
Metropolitan Statistical Area,113740,13740,"Billings, MT",8,11,7,8,7,3,10,6,10,5,14,6,15,11,6,13,140
Metropolitan Statistical Area,131020,31020,"Longview, WA",9,12,8,6,6,9,14,6,12,8,11,11,8,4,8,8,140
Metropolitan Statistical Area,117300,17300,"Clarksville, TN-KY",14,10,16,10,8,8,8,5,6,8,7,8,9,6,6,8,137
Metropolitan Statistical Area,131900,31900,"Mansfield, OH",15,6,7,10,7,6,6,11,5,5,5,10,12,11,9,12,137
Metropolitan Statistical Area,133740,33740,"Monroe, LA",10,15,12,5,5,9,8,5,6,4,9,5,6,10,15,12,136
Metropolitan Statistical Area,127780,27780,"Johnstown, PA",15,9,8,14,9,4,5,6,9,4,10,5,7,12,9,7,133
Metropolitan Statistical Area,139660,39660,"Rapid City, SD",11,8,5,6,5,7,8,10,6,5,8,14,13,9,8,10,133
Metropolitan Statistical Area,141780,41780,"Sandusky, OH",7,8,8,3,11,8,5,5,4,7,9,20,11,10,13,9,133
Metropolitan Statistical Area,117420,17420,"Cleveland, TN",7,10,16,11,16,14,5,2,4,6,11,5,6,7,8,4,132
Metropolitan Statistical Area,148660,48660,"Wichita Falls, TX",14,11,15,15,5,4,7,5,8,7,7,5,6,5,8,10,132
Metropolitan Statistical Area,113900,13900,"Bismarck, ND",13,11,12,9,6,9,6,7,7,11,14,10,4,3,5,4,131
Metropolitan Statistical Area,148540,48540,"Wheeling, WV-OH",12,12,8,9,13,12,7,7,7,12,6,9,2,4,5,6,131
Metropolitan Statistical Area,129420,29420,"Lake Havasu City-Kingman, AZ",8,16,9,7,7,5,6,11,6,7,10,8,7,5,6,11,129
Metropolitan Statistical Area,137380,37380,"Palm Coast, FL",7,5,3,4,6,4,5,12,7,8,12,18,9,10,3,13,126
Metropolitan Statistical Area,131460,31460,"Madera-Chowchilla, CA",13,5,4,3,9,8,7,9,9,7,8,5,7,8,10,13,125
Metropolitan Statistical Area,121060,21060,"Elizabethtown, KY",8,7,10,14,8,4,6,8,1,7,11,6,10,6,9,9,124
Metropolitan Statistical Area,136980,36980,"Owensboro, KY",5,8,12,14,4,8,7,3,6,4,7,5,8,13,12,8,124
Metropolitan Statistical Area,132580,32580,"McAllen-Edinburg-Mission, TX",17,6,6,9,7,3,7,5,4,7,3,1,11,7,16,14,123
Metropolitan Statistical Area,141540,41540,"Salisbury, MD",11,16,11,11,2,1,5,4,9,6,6,11,11,8,7,4,123
Metropolitan Statistical Area,116180,16180,"Carson City, NV",5,7,9,9,6,7,12,7,4,4,7,7,13,9,11,5,122
Metropolitan Statistical Area,127860,27860,"Jonesboro, AR",3,5,3,8,4,4,4,5,10,2,10,8,15,6,10,25,122
Metropolitan Statistical Area,122520,22520,"Florence-Muscle Shoals, AL",11,16,12,7,5,12,8,4,5,2,6,6,5,6,5,11,121
Metropolitan Statistical Area,125620,25620,"Hattiesburg, MS",14,11,6,8,5,7,3,6,4,5,10,6,4,13,8,9,119
Metropolitan Statistical Area,134620,34620,"Muncie, IN",8,7,7,6,9,9,7,6,4,4,1,10,6,15,7,7,113
Metropolitan Statistical Area,111020,11020,"Altoona, PA",6,6,8,8,7,4,4,7,3,5,6,4,12,10,10,12,112
Metropolitan Statistical Area,149700,49700,"Yuba City, CA",10,9,6,11,8,5,4,8,10,4,9,3,2,14,6,3,112
Metropolitan Statistical Area,110500,10500,"Albany, GA",8,6,10,7,2,4,1,2,4,3,3,2,3,16,12,28,111
Metropolitan Statistical Area,122140,22140,"Farmington, NM",1,7,5,9,6,3,8,4,8,8,9,6,4,14,13,5,110
Metropolitan Statistical Area,125500,25500,"Harrisonburg, VA",9,2,12,3,6,4,3,3,6,4,9,8,9,4,12,8,102
Metropolitan Statistical Area,132900,32900,"Merced, CA",8,9,8,5,9,7,6,4,2,5,3,4,7,10,6,8,101
Metropolitan Statistical Area,140580,40580,"Rocky Mount, NC",4,3,2,3,5,2,4,8,10,7,10,5,9,11,8,7,98
Metropolitan Statistical Area,116940,16940,"Cheyenne, WY",3,4,7,3,5,3,3,4,6,1,9,0,9,10,11,18,96
Metropolitan Statistical Area,115180,15180,"Brownsville-Harlingen, TX",5,6,6,5,4,3,5,2,7,4,3,5,6,10,11,13,95
Metropolitan Statistical Area,138540,38540,"Pocatello, ID",6,5,5,11,9,7,10,8,5,5,3,5,5,6,4,4,94
Metropolitan Statistical Area,147220,47220,"Vineland-Millville-Bridgeton, NJ",8,9,7,9,5,9,4,2,5,4,9,7,2,3,1,8,92
Metropolitan Statistical Area,137700,37700,"Pascagoula, MS",8,8,11,7,11,3,5,7,7,1,4,1,5,5,6,2,91
Metropolitan Statistical Area,110780,10780,"Alexandria, LA",8,7,4,3,7,3,5,7,5,4,6,6,3,7,7,7,89
Metropolitan Statistical Area,140660,40660,"Rome, GA",4,7,4,4,4,6,6,4,4,6,7,3,5,4,9,8,85
Metropolitan Statistical Area,126300,26300,"Hot Springs, AR",4,4,5,4,5,5,4,5,2,4,4,9,13,8,5,3,84
Metropolitan Statistical Area,116020,16020,"Cape Girardeau-Jackson, MO-IL",5,6,2,7,5,4,8,7,3,5,8,5,5,5,9,2,83
Metropolitan Statistical Area,148300,48300,"Wenatchee-East Wenatchee, WA",5,7,5,3,3,3,5,3,5,3,5,6,8,11,4,6,82
Metropolitan Statistical Area,144600,44600,"Steubenville-Weirton, OH-WV",6,8,4,5,9,6,10,6,6,5,5,2,1,4,2,2,81
Metropolitan Statistical Area,111500,11500,"Anniston-Oxford, AL",6,3,3,4,7,6,7,8,2,1,8,1,8,10,1,5,80
Metropolitan Statistical Area,130340,30340,"Lewiston-Auburn, ME",9,8,4,6,7,4,1,6,2,2,5,11,7,0,1,6,79
Metropolitan Statistical Area,115260,15260,"Brunswick, GA",11,6,3,8,7,1,4,1,1,5,6,2,6,5,6,5,77
Metropolitan Statistical Area,127620,27620,"Jefferson City, MO",8,8,6,5,5,4,0,3,1,3,5,2,4,2,9,10,75
Metropolitan Statistical Area,149740,49740,"Yuma, AZ",1,4,5,5,1,6,9,6,3,3,1,6,6,9,5,5,75
Metropolitan Statistical Area,145500,45500,"Texarkana, TX-Texarkana, AR",6,6,5,6,5,5,8,5,5,2,3,1,5,2,5,2,71
Metropolitan Statistical Area,110180,10180,"Abilene, TX",0,5,6,4,10,2,6,2,4,2,7,2,3,1,8,8,70
Metropolitan Statistical Area,136140,36140,"Ocean City, NJ",7,8,6,2,1,5,7,4,1,2,4,4,4,5,3,5,68
Metropolitan Statistical Area,120020,20020,"Dothan, AL",8,9,5,4,6,4,5,3,2,1,2,4,2,4,3,4,66
Metropolitan Statistical Area,147580,47580,"Warner Robins, GA",7,6,4,2,6,5,7,5,2,3,1,5,1,1,4,5,64
Metropolitan Statistical Area,119180,19180,"Danville, IL",4,9,3,6,2,5,2,0,2,2,6,5,0,7,6,3,62
Metropolitan Statistical Area,130620,30620,"Lima, OH",4,11,6,7,3,3,3,5,2,1,3,5,3,2,2,5,62
Metropolitan Statistical Area,144940,44940,"Sumter, SC",2,3,1,5,1,6,2,4,5,6,1,3,4,4,6,2,55
Metropolitan Statistical Area,147020,47020,"Victoria, TX",6,4,3,7,2,7,1,2,2,4,1,4,1,4,4,3,55
Metropolitan Statistical Area,123460,23460,"Gadsden, AL",4,6,5,5,3,3,3,1,2,4,1,2,7,4,5,1,54
Metropolitan Statistical Area,146660,46660,"Valdosta, GA",6,1,3,5,4,5,2,3,5,0,2,4,3,2,2,5,52
Metropolitan Statistical Area,127340,27340,"Jacksonville, NC",1,1,5,1,4,2,3,1,4,2,1,3,3,3,3,11,48
Metropolitan Statistical Area,119060,19060,"Cumberland, MD-WV",1,7,4,0,2,4,4,3,2,0,1,4,6,2,6,0,46
Metropolitan Statistical Area,121820,21820,"Fairbanks, AK",3,6,2,2,2,2,3,2,2,4,3,3,1,3,5,4,43
Metropolitan Statistical Area,110380,10380,"Aguadilla-Isabela-San Sebastiðn, PR",1,0,0,2,1,6,5,2,2,2,1,8,4,1,4,3,42
Metropolitan Statistical Area,119260,19260,"Danville, VA",4,4,7,3,3,3,0,1,3,1,1,1,2,3,4,2,42
Metropolitan Statistical Area,124500,24500,"Great Falls, MT",7,5,0,1,2,4,0,4,0,5,1,2,4,1,3,3,42
Metropolitan Statistical Area,116220,16220,"Casper, WY",2,2,4,4,3,4,2,1,1,3,2,3,3,4,4,5,42
Metropolitan Statistical Area,132420,32420,"Mayagðez, PR",3,3,1,5,4,3,3,3,1,2,1,3,2,4,0,3,41
Metropolitan Statistical Area,125260,25260,"Hanford-Corcoran, CA",4,1,2,2,3,0,4,4,1,3,3,2,3,8,0,0,40
Metropolitan Statistical Area,141660,41660,"San Angelo, TX",3,3,2,3,3,0,4,3,1,2,2,1,2,1,6,3,39
Metropolitan Statistical Area,120940,20940,"El Centro, CA",3,4,4,4,2,2,1,2,1,1,4,0,2,2,4,3,38
Metropolitan Statistical Area,124140,24140,"Goldsboro, NC",3,1,7,0,0,3,4,0,0,1,1,5,5,4,2,2,38
Metropolitan Statistical Area,130020,30020,"Lawton, OK",5,2,2,2,3,1,0,1,0,1,4,3,1,4,5,4,38
Metropolitan Statistical Area,130300,30300,"Lewiston, ID-WA",3,3,3,3,3,3,2,1,1,1,2,1,2,4,3,3,38
Metropolitan Statistical Area,129700,29700,"Laredo, TX",2,1,3,0,1,1,1,2,4,0,1,2,1,2,3,4,28
Metropolitan Statistical Area,138220,38220,"Pine Bluff, AR",3,3,3,1,1,2,5,1,2,0,1,2,1,0,0,0,25
Metropolitan Statistical Area,125980,25980,"Hinesville-Fort Stewart, GA",0,1,1,0,0,1,0,0,0,1,3,2,0,0,1,0,10
Metropolitan Statistical Area,138660,38660,"Ponce, PR",1,0,0,0,1,1,1,1,0,0,0,0,3,0,0,0,8
Metropolitan Statistical Area,141900,41900,"San Germðn-Cabo Rojo, PR",0,0,0,2,0,0,1,0,0,1,0,0,1,0,2,1,8
Metropolitan Statistical Area,125020,25020,"Guayama, PR",0,0,0,0,1,0,2,0,0,0,0,1,2,0,1,0,7
Metropolitan Statistical Area,149500,49500,"Yauco, PR",1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,5
Metropolitan Statistical Area,121940,21940,"Fajardo, PR",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Metropolitan Statistical Area,,,-- Subtotal --,80230,82755,82372,83245,79782,70838,85465,75753,74027,78799,103118,103888,115932,128021,138659,135192,1518075
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
