U.S. Regional Level,Code,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,135300,35300,"New Haven-Milford, CT",385,375,347,337,323,331,330,296,262,312,429,421,444,536,513,457,6098
Metropolitan Statistical Area,140140,40140,"Riverside-San Bernardino-Ontario, CA",362,358,380,392,355,308,364,293,291,295,425,376,430,463,486,484,6061
Metropolitan Statistical Area,140340,40340,"Rochester, MN",262,265,254,262,287,267,320,264,333,380,492,469,477,508,503,564,5907
Metropolitan Statistical Area,122660,22660,"Fort Collins-Loveland, CO",302,347,371,456,459,430,482,372,315,301,302,289,292,369,388,392,5861
Metropolitan Statistical Area,145940,45940,"Trenton-Ewing, NJ",349,366,370,315,261,229,317,262,287,286,399,383,439,484,524,542,5810
Metropolitan Statistical Area,110420,10420,"Akron, OH",318,359,379,343,329,273,335,266,250,282,333,352,359,402,335,373,5288
Metropolitan Statistical Area,131540,31540,"Madison, WI",238,258,269,276,228,224,299,250,256,316,398,382,403,452,483,455,5187
Metropolitan Statistical Area,110900,10900,"Allentown-Bethlehem-Easton, PA-NJ",387,384,316,311,286,255,271,269,245,287,324,306,360,358,394,320,5073
Metropolitan Statistical Area,137340,37340,"Palm Bay-Melbourne-Titusville, FL",217,277,291,293,296,314,302,299,228,248,272,287,334,383,434,450,4922
Metropolitan Statistical Area,131700,31700,"Manchester-Nashua, NH",260,257,278,304,283,230,263,258,226,262,327,327,344,353,410,376,4752
Metropolitan Statistical Area,136740,36740,"Orlando-Kissimmee-Sanford, FL",183,253,221,248,253,235,252,220,209,246,303,324,402,405,415,446,4613
Metropolitan Statistical Area,116740,16740,"Charlotte-Gastonia-Rock Hill, NC-SC",273,261,245,216,185,171,209,185,190,211,309,283,398,484,460,451,4527
Metropolitan Statistical Area,141700,41700,"San Antonio-New Braunfels, TX",245,238,223,207,200,149,198,187,149,169,315,327,376,448,497,413,4341
Metropolitan Statistical Area,115380,15380,"Buffalo-Niagara Falls, NY",363,354,333,361,324,218,229,202,177,204,237,256,260,292,272,254,4336
Metropolitan Statistical Area,142060,42060,"Santa Barbara-Santa Maria-Goleta, CA",171,186,188,229,201,209,211,238,173,207,255,274,315,367,438,468,4130
Metropolitan Statistical Area,110740,10740,"Albuquerque, NM",223,251,248,241,246,177,209,187,182,199,257,250,290,280,289,294,3823
Metropolitan Statistical Area,124860,24860,"Greenville-Mauldin-Easley, SC",136,178,181,167,152,147,201,146,134,163,189,282,423,388,441,479,3807
Metropolitan Statistical Area,129820,29820,"Las Vegas-Paradise, NV",167,156,141,181,169,191,171,195,189,144,225,231,377,415,429,418,3799
Metropolitan Statistical Area,117820,17820,"Colorado Springs, CO",272,278,264,309,281,252,242,190,181,173,201,197,226,226,254,204,3750
Metropolitan Statistical Area,139340,39340,"Provo-Orem, UT",132,127,133,124,151,109,155,162,199,242,323,325,361,375,406,396,3720
Metropolitan Statistical Area,119380,19380,"Dayton, OH",274,259,288,288,238,171,188,167,147,153,182,185,255,226,239,260,3519
Metropolitan Statistical Area,118700,18700,"Corvallis, OR",131,155,198,211,247,259,323,290,265,229,250,202,194,188,196,135,3473
Metropolitan Statistical Area,137900,37900,"Peoria, IL",236,188,186,179,132,128,137,144,170,165,215,233,255,233,310,410,3321
Metropolitan Statistical Area,132820,32820,"Memphis, TN-MS-AR",153,144,142,141,133,107,161,159,130,185,296,302,308,311,294,326,3290
Metropolitan Statistical Area,139900,39900,"Reno-Sparks, NV",115,115,122,165,186,145,168,132,149,160,264,276,312,367,328,243,3247
Metropolitan Statistical Area,142220,42220,"Santa Rosa-Petaluma, CA",148,154,173,171,216,186,212,163,140,177,213,198,243,217,281,233,3125
Metropolitan Statistical Area,124540,24540,"Greeley, CO",118,145,153,163,198,203,233,187,160,174,192,191,215,247,266,280,3120
Metropolitan Statistical Area,140060,40060,"Richmond, VA",166,161,169,181,168,132,155,143,143,156,258,224,219,232,253,243,3003
Metropolitan Statistical Area,130460,30460,"Lexington-Fayette, KY",176,203,179,170,155,134,184,189,201,157,230,187,209,173,217,181,2945
Metropolitan Statistical Area,119780,19780,"Des Moines-West Des Moines, IA",119,188,116,147,143,140,178,183,143,189,174,233,249,276,223,218,2919
Metropolitan Statistical Area,134980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",155,164,151,159,151,113,149,116,126,130,196,212,210,239,252,220,2743
Metropolitan Statistical Area,128940,28940,"Knoxville, TN",170,183,174,167,140,123,127,136,122,120,202,188,192,222,257,218,2741
Metropolitan Statistical Area,145060,45060,"Syracuse, NY",195,147,140,157,144,147,174,161,123,119,164,188,224,248,190,217,2738
Metropolitan Statistical Area,124340,24340,"Grand Rapids-Wyoming, MI",174,194,195,181,165,140,141,127,135,117,159,189,178,206,193,217,2711
Metropolitan Statistical Area,131140,31140,"Louisville/Jefferson County, KY-IN",147,148,120,152,168,116,125,113,101,96,159,156,189,231,268,300,2589
Metropolitan Statistical Area,113780,13780,"Binghamton, NY",221,237,206,215,185,152,196,157,121,106,116,117,121,112,110,109,2481
Metropolitan Statistical Area,126100,26100,"Holland-Grand Haven, MI",166,165,178,146,129,128,135,106,140,128,133,133,174,151,198,166,2372
Metropolitan Statistical Area,126620,26620,"Huntsville, AL",103,126,132,147,138,114,122,107,112,115,201,148,180,218,215,190,2368
Metropolitan Statistical Area,145780,45780,"Toledo, OH",202,190,147,129,130,104,119,103,110,105,136,143,153,152,178,146,2243
Metropolitan Statistical Area,147260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",148,149,161,169,137,125,121,127,121,108,161,111,149,141,171,143,2242
Metropolitan Statistical Area,136420,36420,"Oklahoma City, OK",178,176,156,146,115,113,148,136,111,100,120,127,129,152,142,155,2204
Metropolitan Statistical Area,111540,11540,"Appleton, WI",148,175,187,197,199,145,131,112,109,78,118,111,111,118,137,108,2184
Metropolitan Statistical Area,116300,16300,"Cedar Rapids, IA",101,104,129,121,103,82,82,88,106,174,148,175,163,184,225,193,2178
Metropolitan Statistical Area,127260,27260,"Jacksonville, FL",111,106,114,132,124,106,122,107,91,84,168,143,174,173,210,202,2167
Metropolitan Statistical Area,115940,15940,"Canton-Massillon, OH",108,110,140,136,117,105,141,133,135,135,148,166,178,156,132,121,2161
Metropolitan Statistical Area,146140,46140,"Tulsa, OK",135,154,118,138,133,107,130,106,94,91,152,135,148,182,163,174,2160
Metropolitan Statistical Area,135980,35980,"Norwich-New London, CT",165,175,186,184,141,154,139,104,86,86,94,84,106,108,121,108,2041
Metropolitan Statistical Area,123060,23060,"Fort Wayne, IN",153,144,180,142,148,101,93,99,92,99,126,118,144,119,123,141,2022
Metropolitan Statistical Area,124660,24660,"Greensboro-High Point, NC",129,121,122,142,145,103,129,95,66,73,120,151,146,157,142,159,2000
Metropolitan Statistical Area,136260,36260,"Ogden-Clearfield, UT",131,117,113,102,126,101,127,88,103,93,133,133,117,151,155,197,1987
Metropolitan Statistical Area,144140,44140,"Springfield, MA",111,136,167,126,89,89,132,96,85,125,118,120,140,147,138,165,1981
Metropolitan Statistical Area,125420,25420,"Harrisburg-Carlisle, PA",142,114,123,114,142,93,120,104,104,97,151,128,135,123,130,125,1945
Metropolitan Statistical Area,135840,35840,"North Port-Bradenton-Sarasota, FL",108,114,87,106,103,109,110,109,95,93,130,133,171,151,145,141,1900
Metropolitan Statistical Area,136780,36780,"Oshkosh-Neenah, WI",128,117,132,146,140,124,101,105,86,90,145,129,117,116,114,98,1888
Metropolitan Statistical Area,135380,35380,"New Orleans-Metairie-Kenner, LA",155,161,169,120,120,70,115,85,78,86,100,97,102,131,146,134,1869
Metropolitan Statistical Area,138860,38860,"Portland-South Portland-Biddeford, ME",74,94,102,99,80,111,109,79,74,92,163,133,146,168,164,143,1831
Metropolitan Statistical Area,123540,23540,"Gainesville, FL",101,118,95,101,84,96,114,85,77,114,110,108,127,153,160,187,1830
Metropolitan Statistical Area,129540,29540,"Lancaster, PA",111,114,92,124,134,102,116,95,77,101,120,119,112,121,122,148,1808
Metropolitan Statistical Area,136540,36540,"Omaha-Council Bluffs, NE-IA",95,88,88,93,88,70,79,79,102,89,103,98,137,156,215,178,1758
Metropolitan Statistical Area,116580,16580,"Champaign-Urbana, IL",62,57,57,67,95,58,107,97,78,107,121,136,160,165,187,166,1720
Metropolitan Statistical Area,148620,48620,"Wichita, KS",97,74,94,107,110,88,120,73,73,88,105,105,132,133,139,110,1648
Metropolitan Statistical Area,127060,27060,"Ithaca, NY",92,85,83,100,105,78,98,87,74,83,123,115,128,127,120,140,1638
Metropolitan Statistical Area,129140,29140,"Lafayette, IN",88,75,85,80,65,69,61,77,59,84,122,101,116,150,187,191,1610
Metropolitan Statistical Area,140420,40420,"Rockford, IL",101,104,83,85,59,58,85,91,65,68,93,117,116,140,133,155,1553
Metropolitan Statistical Area,122420,22420,"Flint, MI",81,84,110,100,87,93,105,90,64,94,84,85,93,108,116,120,1514
Metropolitan Statistical Area,149180,49180,"Winston-Salem, NC",82,89,90,78,86,61,69,80,65,72,101,102,120,132,138,147,1512
Metropolitan Statistical Area,128020,28020,"Kalamazoo-Portage, MI",109,113,104,103,101,111,97,67,77,58,73,88,74,105,104,100,1484
Metropolitan Statistical Area,149620,49620,"York-Hanover, PA",83,81,107,93,72,66,88,68,92,67,113,112,97,90,118,114,1461
